host,ip,port,protocol,title,domain,country,city,link,as_organization
https://146.56.166.197,146.56.166.197,443,https,,,KR,Seoul,https://146.56.166.197,ORACLE-BMC-31898
https://129.154.204.104,129.154.204.104,443,https,,,KR,Seoul,https://129.154.204.104,ORACLE-BMC-31898
https://193.122.108.244,193.122.108.244,443,https,,,KR,Seoul,https://193.122.108.244,ORACLE-BMC-31898
https://193.122.109.52,193.122.109.52,443,https,,,KR,Seoul,https://193.122.109.52,ORACLE-BMC-31898
https://132.226.230.213,132.226.230.213,443,https,,,KR,Seoul,https://132.226.230.213,ORACLE-BMC-31898
146.56.133.140:2083,146.56.133.140,2083,http,,,KR,Seoul,http://146.56.133.140:2083,ORACLE-BMC-31898
https://193.122.119.93,193.122.119.93,443,https,,,KR,Seoul,https://193.122.119.93,ORACLE-BMC-31898
https://kr3.tcm.pp.ua,146.56.134.146,443,https,,tcm.pp.ua,KR,Seoul,https://kr3.tcm.pp.ua,ORACLE-BMC-31898
132.226.236.61:2052,132.226.236.61,2052,http,,,KR,Seoul,http://132.226.236.61:2052,ORACLE-BMC-31898
146.56.136.39:10100,146.56.136.39,10100,http,,,KR,Seoul,http://146.56.136.39:10100,ORACLE-BMC-31898
146.56.136.39:10100,146.56.136.39,10100,http,,,KR,Seoul,http://146.56.136.39:10100,ORACLE-BMC-31898
